,pm2.5,pm10,o3,no2,so2,co
2023-06-20,50.0,11.0,34.0,8.0,1.0,1.0
2023-06-19,65.0,18.0,51.0,7.0,1.0,2.0
2023-06-18,45.0,25.0,48.0,23.0,5.0,3.0
2023-06-17,20.0,14.0,50.0,17.0,2.0,3.0
2023-06-16,28.0,8.0,51.0,10.0,1.0,2.0
2023-06-15,25.0,10.0,28.0,11.0,1.0,2.0
2023-06-12,41.0,15.0,17.0,14.0,1.0,3.0
2023-06-11,40.0,16.0,40.0,13.0,1.0,2.0
2023-06-10,21.0,14.0,31.0,17.0,1.0,3.0
2023-06-09,45.0,8.0,33.0,19.0,1.0,5.0
2023-06-08,38.0,14.0,46.0,22.0,2.0,4.0
2023-06-07,61.0,13.0,61.0,15.0,2.0,4.0
2023-06-06,55.0,21.0,40.0,26.0,2.0,4.0
2023-06-05,40.0,19.0,42.0,27.0,2.0,3.0
2023-06-04,23.0,14.0,41.0,11.0,2.0,3.0
2023-06-03,19.0,9.0,43.0,7.0,1.0,2.0
2023-06-02,29.0,13.0,23.0,11.0,1.0,2.0
2023-06-01,24.0,10.0,33.0,17.0,2.0,3.0
2023-05-31,28.0,9.0,31.0,9.0,1.0,2.0
2023-05-30,46.0,10.0,33.0,16.0,1.0,3.0
2023-05-28,36.0,13.0,32.0,11.0,1.0,2.0
2023-05-27,30.0,11.0,45.0,14.0,1.0,2.0
2023-05-26,34.0,10.0,30.0,17.0,1.0,2.0
2023-05-25,28.0,10.0,33.0,13.0,1.0,3.0
2023-05-24,53.0,10.0,35.0,7.0,1.0,2.0
2023-05-22,40.0,20.0,59.0,12.0,1.0,2.0
2023-05-21,21.0,13.0,42.0,10.0,2.0,3.0
2023-05-19,84.0,13.0,32.0,15.0,1.0,2.0
2023-05-18,62.0,35.0,81.0,31.0,3.0,4.0
2023-05-17,41.0,22.0,49.0,28.0,2.0,3.0
2023-05-16,37.0,12.0,56.0,14.0,1.0,2.0
2023-05-15,32.0,12.0,37.0,13.0,1.0,2.0
2023-05-14,37.0,10.0,37.0,5.0,1.0,1.0
2023-05-13,42.0,11.0,36.0,13.0,2.0,2.0
